timestamp,seq,key,aRMSx,aRMSy,aRMSz,vRMSx,vRMSy,vRMSz,temperature,aucausticRMS,extra,mac
1777369506351,173,RMS,0.567234,0.337921,0.521431,1.635806,2.613233,1.760695,29.29122,44.05101,119.5645,E4:65:B8:2C:73:48
1777369512351,175,RMS,0.680689,0.253593,0.54309,1.503177,1.959995,2.196568,28.97398,47.58364,169.4989,E4:65:B8:2C:73:48
1777369518351,193,RMS,0.769145,0.452837,0.718808,1.890423,2.809739,3.839834,29.16921,46.55163,159.7425,E4:65:B8:2C:73:48
1777369524351,196,RMS,0.812314,0.80905,0.810224,2.268475,6.09022,4.79629,29.26689,48.7025,190.3739,E4:65:B8:2C:73:48
1777369530351,203,RMS,0.754909,0.605146,0.867594,2.031739,2.895992,5.500873,29.60941,46.93394,165.6741,E4:65:B8:2C:73:48
1777369536351,210,RMS,0.785048,0.586335,0.846526,2.229321,2.667785,4.99672,29.48717,43.62661,127.8244,E4:65:B8:2C:73:48
1777369542351,217,RMS,0.759417,0.606477,0.85075,2.024324,2.156834,5.039493,29.31626,46.07828,154.9559,E4:65:B8:2C:73:48
1777369548351,224,RMS,0.78568,0.616937,0.843099,2.209457,2.447449,4.791388,29.73148,46.76276,162.7571,E4:65:B8:2C:73:48
1777369554351,231,RMS,0.823874,0.661997,0.850622,2.390683,1.91062,4.624065,29.51127,46.38654,161.0754,E4:65:B8:2C:73:48
1777369560351,238,RMS,0.803121,0.58039,0.795766,2.402367,1.926534,4.481119,29.68265,46.78872,160.388,E4:65:B8:2C:73:48
1777369566351,245,RMS,0.849787,0.501589,0.81155,2.358826,1.52561,4.558843,29.82782,47.1016,162.9997,E4:65:B8:2C:73:48
1777369572351,252,RMS,0.865594,0.513731,0.826859,2.2926,1.719953,4.384494,29.90166,47.36913,171.5103,E4:65:B8:2C:73:48
1777369578351,259,RMS,0.847908,0.509256,0.848803,2.214249,2.121273,4.436931,29.51049,46.79977,163.0258,E4:65:B8:2C:73:48
1777369584351,266,RMS,0.819497,0.52207,0.858649,2.165291,2.089483,4.486663,29.78026,45.96289,155.2076,E4:65:B8:2C:73:48
1777369590351,273,RMS,0.7901,0.515046,0.861182,2.150068,1.932873,4.451509,29.78026,45.84366,152.9877,E4:65:B8:2C:73:48
1777369596351,280,RMS,0.753765,0.498456,0.816621,2.026829,1.867013,4.475343,29.82907,45.88531,150.5041,E4:65:B8:2C:73:48
1777369602351,287,RMS,0.710718,0.399537,0.723902,1.854541,2.012835,4.48736,29.92669,45.1296,143.8507,E4:65:B8:2C:73:48
1777369608351,294,RMS,0.67654,0.362276,0.662329,1.829327,1.903271,4.33006,29.78031,45.73896,150.7442,E4:65:B8:2C:73:48
1777369614351,301,RMS,0.688262,0.358327,0.651022,1.835058,2.128928,4.268142,30.04834,44.83741,142.826,E4:65:B8:2C:73:48
1777369620351,308,RMS,0.74979,0.342341,0.731293,1.912987,2.016536,4.169621,29.99993,45.41303,147.7591,E4:65:B8:2C:73:48
1777369626351,315,RMS,0.707144,0.343329,0.672984,1.844562,1.975452,4.057333,30.17025,44.84674,140.1713,E4:65:B8:2C:73:48
1777369632351,322,RMS,0.748981,0.349517,0.739926,1.982831,2.163972,4.196005,29.99994,45.51146,147.6424,E4:65:B8:2C:73:48
1777369638351,329,RMS,0.734266,0.342207,0.712563,1.943225,2.092333,4.117342,30.46196,45.73737,149.6024,E4:65:B8:2C:73:48
1777369644351,336,RMS,0.741097,0.341786,0.738524,1.999372,2.006303,4.18748,30.60987,45.5753,149.4551,E4:65:B8:2C:73:48
1777369650351,343,RMS,0.752164,0.346265,0.726236,1.958843,2.137041,4.20435,30.26818,45.23366,148.346,E4:65:B8:2C:73:48
1777369656351,350,RMS,0.740152,0.353247,0.704957,1.934553,1.996648,3.935121,30.26846,45.33673,148.3295,E4:65:B8:2C:73:48
1777369662351,357,RMS,0.736945,0.342644,0.728152,1.952282,2.023347,4.059989,30.3903,45.73933,149.5826,E4:65:B8:2C:73:48
1777369668351,364,RMS,0.763053,0.370074,0.72728,2.026833,2.040931,3.863253,30.43903,44.80848,141.2074,E4:65:B8:2C:73:48
1777369674351,371,RMS,0.727472,0.354585,0.721437,1.9343,2.109208,3.995961,30.46354,45.31431,147.522,E4:65:B8:2C:73:48
1777369680351,378,RMS,0.742614,0.338403,0.731544,1.968009,1.873973,4.019822,30.3656,44.63107,141.2258,E4:65:B8:2C:73:48
1777369686351,385,RMS,0.727948,0.354259,0.708387,1.961829,2.061242,3.923279,30.75624,45.18647,145.7217,E4:65:B8:2C:73:48
1777369692351,392,RMS,0.731806,0.344351,0.708948,1.942148,1.931532,3.858574,30.65847,44.83679,141.8864,E4:65:B8:2C:73:48
1777369698351,399,RMS,0.742319,0.352397,0.71182,1.99796,1.881091,3.824224,30.95141,45.17437,146.4019,E4:65:B8:2C:73:48
1777369704351,406,RMS,0.71831,0.35119,0.669902,1.84607,1.853875,3.73762,30.78073,44.65494,140.3787,E4:65:B8:2C:73:48
1777369710351,413,RMS,0.743205,0.354605,0.711561,1.925331,1.978417,3.965265,30.92701,44.88297,144.8303,E4:65:B8:2C:73:48
1777369716351,420,RMS,0.747342,0.355369,0.679113,1.845002,2.032189,3.83536,30.95151,44.78498,142.9073,E4:65:B8:2C:73:48
1777369722351,427,RMS,0.74135,0.353616,0.683242,1.910634,2.028703,3.717287,30.80471,44.94035,146.4082,E4:65:B8:2C:73:48
1777369728351,434,RMS,0.716395,0.371033,0.657183,1.769901,1.887282,3.408122,31.17103,44.81067,143.4116,E4:65:B8:2C:73:48
1777369734351,441,RMS,0.718609,0.335049,0.676253,1.770116,1.820629,3.587825,31.09618,44.7841,143.0348,E4:65:B8:2C:73:48
1777369740351,448,RMS,0.708828,0.334862,0.665704,1.84215,1.975057,3.577018,31.29305,44.71574,142.4543,E4:65:B8:2C:73:48
1777369746351,455,RMS,0.714506,0.340767,0.619968,1.743452,1.671355,3.602218,31.46379,44.86031,145.6168,E4:65:B8:2C:73:48
1777369752351,462,RMS,0.690861,0.335345,0.65679,1.814456,1.704154,3.514466,31.43938,45.04205,146.0154,E4:65:B8:2C:73:48
1777369758351,469,RMS,0.673371,0.326903,0.65511,1.737245,1.872018,3.363095,31.43941,45.19262,146.6048,E4:65:B8:2C:73:48
1777369764351,476,RMS,0.677479,0.334812,0.651307,1.774312,1.677581,3.429021,31.39062,45.09269,145.9162,E4:65:B8:2C:73:48
1777369770351,483,RMS,0.689954,0.337728,0.658407,1.800512,1.944312,3.288758,31.5124,44.80153,143.8843,E4:65:B8:2C:73:48
1777369776351,490,RMS,0.676607,0.332555,0.658916,1.674118,1.717944,3.285647,31.56132,45.05299,145.7576,E4:65:B8:2C:73:48
1777369782351,497,RMS,0.700311,0.337734,0.673129,1.83305,1.731746,3.334996,31.51254,45.25285,144.1401,E4:65:B8:2C:73:48
1777369788351,504,RMS,0.667782,0.357545,0.673786,1.794157,1.948375,3.427519,31.53689,45.19051,145.0999,E4:65:B8:2C:73:48
1777369794351,511,RMS,0.649915,0.310567,0.624304,1.594728,1.669258,3.38195,31.7557,45.70662,148.2019,E4:65:B8:2C:73:48
1777369800351,518,RMS,0.685199,0.341252,0.645803,1.727246,1.893371,3.218894,31.80494,45.41809,147.3418,E4:65:B8:2C:73:48
1777369806351,525,RMS,0.653146,0.350809,0.664871,1.734219,1.830303,3.436468,32.41422,45.57663,149.2671,E4:65:B8:2C:73:48
1777369812351,532,RMS,0.657967,0.305492,0.638352,1.693259,1.611311,3.325725,31.97544,44.85034,141.6463,E4:65:B8:2C:73:48
1777369818351,539,RMS,0.667531,0.33959,0.657914,1.760698,2.172814,3.304105,31.82933,45.5238,146.9787,E4:65:B8:2C:73:48
1777369824351,546,RMS,0.651035,0.313397,0.63736,1.731969,1.584105,3.265192,31.73188,45.34339,146.4231,E4:65:B8:2C:73:48
1777369830351,553,RMS,0.69978,0.332843,0.660786,1.764805,1.993101,3.299337,31.85358,44.8478,141.1649,E4:65:B8:2C:73:48
1777369836351,560,RMS,0.650301,0.340424,0.682346,1.853198,2.02383,3.379707,32.09758,45.35532,146.3024,E4:65:B8:2C:73:48
1777369842351,567,RMS,0.656015,0.340524,0.658111,1.791714,1.947349,3.413736,31.99999,44.74035,140.4251,E4:65:B8:2C:73:48
1777369848351,574,RMS,0.640247,0.317063,0.645985,1.558583,1.711032,3.320354,32.26805,45.00584,142.6796,E4:65:B8:2C:73:48
1777369854351,581,RMS,0.625436,0.328525,0.640735,1.615162,1.938601,3.292077,31.90095,45.02631,144.5376,E4:65:B8:2C:73:48
1777369860351,588,RMS,0.614004,0.305036,0.630758,1.559646,1.641216,3.326818,32.24376,44.75157,141.2551,E4:65:B8:2C:73:48
1777369866351,595,RMS,0.626418,0.320447,0.647497,1.559907,1.691913,3.292393,32.60934,44.72263,142.5038,E4:65:B8:2C:73:48
1777369872351,707,RMS,0.612864,0.329013,0.676021,1.695678,1.592475,3.312183,33.19392,44.48258,140.7877,E4:65:B8:2C:73:48
1777369878351,714,RMS,0.633272,0.300994,0.635556,1.592698,1.673348,3.309494,33.26445,44.46103,140.1238,E4:65:B8:2C:73:48
1777369884351,721,RMS,0.633494,0.286241,0.6194,1.653427,1.541344,3.347835,33.43718,44.26277,136.3715,E4:65:B8:2C:73:48
